,day_opening,units_traded,noof_keywords,Europe,China,tariff,Stock Market,economy,bank,trade,jobs,money,dollar,currency,Xi,deal,growth,percent change
2020-02-11,0.9839095969148884,0.3390539277944659,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0.0016884725205512652
2020-02-12,0.9890191670037458,0.36187254981554384,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006462646415010154
2020-02-13,0.9839424678416694,0.30295941689566014,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-0.0016304458062382787
2020-02-14,0.9973845921818778,0.2891716467303583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018435334086464028
2020-02-18,0.9874079442025436,0.3371508852656623,6,0,2,0,0,0,0,2,0,1,0,0,0,3,0,-0.002919942623117011
2020-02-19,0.9999337195863488,0.31698248733025014,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0.00470578579780212
2020-02-20,1.0,0.3730100958951799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0038155198009305336
2020-02-21,0.9779830995937112,0.3581421461310994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010518102889622738
2020-02-24,0.8644331200977864,0.48799624620389115,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.033513626544828146
2020-02-25,0.8438285990445329,0.5909985950785092,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.030279995672499505
2020-02-26,0.7345273443748872,0.5753944719572992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0037785404903645237
2020-02-27,0.6491524780849829,0.7929068665021858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04416324263826643
2020-02-28,0.48842304113111545,1.0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,-0.00823834042273175
2020-03-02,0.55174813608795,0.6990014186817406,4,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.04603922874232036
2020-03-03,0.6865867326584945,0.6961860716000832,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,-0.02810789603432695
2020-03-04,0.6306228778628719,0.5144874788608165,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.04220259077712596
2020-03-05,0.6636758456791952,0.5888024592318203,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.033922077118805904
2020-03-06,0.5295876266472748,0.7231836814447161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01705385193032183
2020-03-09,0.42992083785806123,0.9806255684703143,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.07596969728248681
2020-03-10,0.3742881180578633,0.8723200193744315,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.04939630595567479
2020-03-11,0.38766396198442044,0.8362888056240892,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.048868444911533415
